T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,217,0.0192,1.5872,0.6112,1.0688,0.3552,1.526288864,0.5877443,1.027783227,0.341568677
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,244,0.0064,1.168,0.4544,0.8256,0.44,1.123176281,0.436961731,0.793916385,0.423114352
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,0,0.2592,0,0,0,0.016,0,0,0,0.015385976
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,6,0.272,0.0608,0.0384,0.1152,0.0208,0.058466711,0.036926343,0.11077903,0.020001769
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,71,0.4,1.4048,0.9984,1.376,0.0704,1.350888732,0.960084931,1.323193975,0.067698296
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,114,0.3328,1.8496,1.2576,1.488,0.1152,1.778618878,1.209337749,1.43089581,0.11077903
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,140,0.2656,1.9872,1.3312,1.4496,0.136,1.910938275,1.280113241,1.393969467,0.1307808
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,188,0.1568,2.112,1.2992,1.3536,0.1776,2.030948892,1.249341288,1.301653608,0.170784339
76.55764245,0.314617335,5.516190341,0.528155262,0.047661039,0.355420034,234,0.096,2.1856,1.2512,1.3024,0.2048,2.101724383,1.203183359,1.252418483,0.196940499
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,0,0.2848,0,0,0,0.0144,0,0,0,0.013847379
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,13,0.288,0.016,0.0096,0.0192,0.0192,0.015385976,0.009231586,0.018463172,0.018463172
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,70,0.3232,0.1952,0.1312,0.2976,0.0464,0.187708913,0.126165007,0.286179162,0.044619332
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,134,0.3584,0.528,0.3808,0.6368,0.096,0.507737223,0.36618624,0.612361863,0.092315859
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,170,0.3584,0.7072,0.496,0.8032,0.128,0.680060159,0.47696527,0.772376018,0.123087812
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,224,0.3424,0.9824,0.6912,1.0016,0.1712,0.944698954,0.664674183,0.963162126,0.164629948
78.85404294,0.177565152,5.721847584,0.47867918,0.273809152,0.194653631,264,0.3168,1.1616,0.7808,1.0976,0.1952,1.11702189,0.750835651,1.055477985,0.187708913
